column_name,percent_missing
code,0.0
url,0.0
created_t,0.0
created_datetime,0.0
last_modified_t,0.0
last_modified_datetime,0.0
states,0.0
states_tags,0.0
states_en,0.0
completeness,3.6729772088091215e-05
creator,0.00014691908835236486
pnns_groups_2,0.052743952718498986
pnns_groups_1,0.05281741226267517
ecoscore_grade,0.06813372722340921
countries,0.2703678523404394
countries_en,0.2705515012008799
countries_tags,0.2705515012008799
product_name,3.5025143365482903
last_image_t,15.09880125042836
last_image_datetime,15.09880125042836
image_url,19.08321019677241
image_small_url,19.08321019677241
energy_100g,20.788353136189954
proteins_100g,21.201159044688012
carbohydrates_100g,21.27436148045958
fat_100g,21.27733659199871
sugars_100g,21.883965507805627
energy-kcal_100g,22.515240100683652
saturated-fat_100g,22.853447842070796
salt_100g,29.358400668188015
sodium_100g,29.35847412773219
image_nutrition_small_url,41.88057167686469
image_nutrition_url,41.88057167686469
brands,50.9911345349111
brands_tags,50.99499116098035
categories,58.4266728666522
main_category_en,58.42770130027066
main_category,58.42770130027066
categories_tags,58.42770130027066
categories_en,58.42770130027066
nutrient_levels_tags,64.59040611007104
fiber_100g,66.16060386683695
food_groups_en,66.25900292626095
food_groups_tags,66.25900292626095
food_groups,66.25900292626095
nutrition-score-fr_100g,68.23715826160927
nutriscore_grade,68.23719499138136
nutriscore_score,68.23719499138136
ingredients_analysis_tags,68.658999694041
additives_n,70.28888333045005
ingredients_text,70.28899351976631
fruits-vegetables-nuts-estimate-from-ingredients_100g,70.31448398159544
ingredients_tags,70.33604435781116
image_ingredients_small_url,71.04030100782822
image_ingredients_url,71.04030100782822
unique_scans_n,72.46152280900482
popularity_tags,72.73942026462332
nova_group,72.94933091210676
quantity,74.02701915494345
labels,75.7444665680105
labels_en,75.74531135276852
labels_tags,75.74531135276852
product_quantity,75.8536641804284
ecoscore_score,77.77356609724501
serving_size,78.75421428222496
serving_quantity,79.04048612587954
additives_tags,83.00957875726286
additives_en,83.00957875726286
packaging,86.50092724309637
packaging_tags,86.50151491944978
packaging_en,86.50151491944978
stores,86.54694964752274
brand_owner,89.23288769100859
calcium_100g,89.88399636081418
cholesterol_100g,90.02940952851094
iron_100g,90.14819361144382
trans-fat_100g,90.19105725547062
vitamin-c_100g,91.85381403789852
allergens,92.09582650618695
vitamin-a_100g,92.13145438511239
energy-kj_100g,92.96668940239559
purchase_places,93.32399662526853
data_quality_errors_tags,94.21539146407443
manufacturing_places,94.43430090571945
manufacturing_places_tags,94.43672507067727
traces_tags,94.50952347895586
traces_en,94.50952347895586
emb_codes,94.78764131320689
emb_codes_tags,94.78951453158338
generic_name,95.03079240443004
traces,95.56510039899551
origins,96.04952936306535
origins_tags,96.05467153115768
origins_en,96.05467153115768
potassium_100g,96.53487657143738
cities_tags,96.8478509594
first_packaging_code_geo,97.07594284406706
monounsaturated-fat_100g,98.19120564374985
polyunsaturated-fat_100g,98.19278502394965
owner,98.2524341738207
alcohol_100g,98.98699288581044
vitamin-b1_100g,99.07991920919332
vitamin-pp_100g,99.09663125549339
vitamin-b2_100g,99.11117624524029
packaging_text,99.2887646932862
vitamin-b6_100g,99.37467563020024
magnesium_100g,99.42528925613763
phosphorus_100g,99.46297400230002
vitamin-b12_100g,99.48390997239024
fruits-vegetables-nuts_100g,99.52897740274231
carbon-footprint-from-meat-or-fish_100g,99.53588259989488
fruits-vegetables-nuts-estimate_100g,99.55567994705036
vitamin-d_100g,99.58256614021884
vitamin-b9_100g,99.59880069948179
zinc_100g,99.60195945988136
abbreviated_product_name,99.66597945263089
folates_100g,99.68515239366089
cocoa_100g,99.7390716990862
pantothenic-acid_100g,99.75247806589836
copper_100g,99.83497313400821
vitamin-e_100g,99.84018876164471
manganese_100g,99.84213543956538
polyols_100g,99.8537787773173
soluble-fiber_100g,99.86670765709232
insoluble-fiber_100g,99.87677161464445
selenium_100g,99.89917677561819
iodine_100g,99.90053577718545
omega-3-fat_100g,99.9093141927145
phylloquinone_100g,99.93711863018518
biotin_100g,99.9457501266259
vitamin-k_100g,99.94945983360678
chloride_100g,99.95474892078747
energy-from-fat_100g,99.96345387677235
fruits-vegetables-nuts-dried_100g,99.96371098517696
bicarbonate_100g,99.97021215483656
caffeine_100g,99.97414224044998
omega-6-fat_100g,99.97513394429636
starch_100g,99.97832943446802
ph_100g,99.97939459785859
fluoride_100g,99.97972516580738
carbon-footprint_100g,99.98200241167683
molybdenum_100g,99.98501425298807
collagen-meat-protein-ratio_100g,99.9882464729318
taurine_100g,99.98931163632237
chromium_100g,99.98989931267577
silica_100g,99.9910379356105
omega-9-fat_100g,99.99460072350305
serum-proteins_100g,99.99643721210745
choline_100g,99.99654740142373
beta-carotene_100g,99.9968779693725
inositol_100g,99.99698815868878
casein_100g,99.99739218618174
nucleotides_100g,99.99786967321889
beta-glucan_100g,99.99812678162351
carnitine_100g,99.99831043048395
glycemic-index_100g,99.99977962136747
chlorophyl_100g,99.99981635113956
water-hardness_100g,99.99992654045582
nutrition-score-uk_100g,99.99996327022791
additives,99.99996327022791
-maltodextrins_100g,100.0
-behenic-acid_100g,100.0
-stearic-acid_100g,100.0
-palmitic-acid_100g,100.0
-myristic-acid_100g,100.0
-lauric-acid_100g,100.0
-capric-acid_100g,100.0
-caproic-acid_100g,100.0
-lignoceric-acid_100g,100.0
-butyric-acid_100g,100.0
no_nutriments,100.0
allergens_en,100.0
cities,100.0
-caprylic-acid_100g,100.0
-cerotic-acid_100g,100.0
-montanic-acid_100g,100.0
-melissic-acid_100g,100.0
-maltose_100g,100.0
-lactose_100g,100.0
-fructose_100g,100.0
-glucose_100g,100.0
-sucrose_100g,100.0
-nervonic-acid_100g,100.0
-erucic-acid_100g,100.0
-mead-acid_100g,100.0
-erythritol_100g,100.0
-gondoic-acid_100g,100.0
-oleic-acid_100g,100.0
-dihomo-gamma-linolenic-acid_100g,100.0
-gamma-linolenic-acid_100g,100.0
-arachidonic-acid_100g,100.0
-linoleic-acid_100g,100.0
-docosahexaenoic-acid_100g,100.0
-eicosapentaenoic-acid_100g,100.0
-alpha-linolenic-acid_100g,100.0
-elaidic-acid_100g,100.0
-arachidic-acid_100g,100.0
